datetime,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ignore
1596427200000,0.00192490,0.00192490,0.00192490,0.00192490,1.00000000,1596441599999,0.00192490,1,0.00000000,0.00000000,0
1596441600000,0.00192490,0.00192490,0.00192490,0.00192490,0.00000000,1596455999999,0.00000000,0,0.00000000,0.00000000,0
1596456000000,0.00192490,0.00192490,0.00192490,0.00192490,0.00000000,1596470399999,0.00000000,0,0.00000000,0.00000000,0
1596470400000,0.00192490,0.00192490,0.00192490,0.00192490,0.00000000,1596484799999,0.00000000,0,0.00000000,0.00000000,0
1596484800000,0.00192490,0.00192490,0.00192490,0.00192490,0.00000000,1596499199999,0.00000000,0,0.00000000,0.00000000,0
1596499200000,0.00192490,0.00192490,0.00192490,0.00192490,0.00000000,1596513599999,0.00000000,0,0.00000000,0.00000000,0
1596513600000,0.00192490,0.00192490,0.00192490,0.00192490,0.00000000,1596527999999,0.00000000,0,0.00000000,0.00000000,0
1596528000000,0.00192490,0.00192490,0.00192490,0.00192490,0.00000000,1596542399999,0.00000000,0,0.00000000,0.00000000,0
1596542400000,0.00100000,0.00200000,0.00100000,0.00100000,0.70000000,1596556799999,0.00100000,7,0.30000000,0.00060000,0
1596556800000,0.00100000,0.00100000,0.00100000,0.00100000,0.00000000,1596571199999,0.00000000,0,0.00000000,0.00000000,0
1596571200000,0.00100000,0.00100000,0.00100000,0.00100000,0.00000000,1596585599999,0.00000000,0,0.00000000,0.00000000,0
1596585600000,0.00100000,0.00100000,0.00100000,0.00100000,0.00000000,1596599999999,0.00000000,0,0.00000000,0.00000000,0
1596600000000,0.00100000,0.00100000,0.00100000,0.00100000,0.00000000,1596614399999,0.00000000,0,0.00000000,0.00000000,0
1596614400000,0.00200000,0.00200000,0.00100000,0.00100000,0.80000000,1596628799999,0.00120000,8,0.40000000,0.00080000,0
1596628800000,0.00200000,0.00200000,0.00050000,0.00100000,3.20000000,1596643199999,0.00475000,32,1.60000000,0.00320000,0
1596643200000,0.00200000,0.00200000,0.00100000,0.00100000,0.40000000,1596657599999,0.00060000,4,0.20000000,0.00040000,0
1596657600000,0.00100000,0.00100000,0.00100000,0.00100000,0.00000000,1596671999999,0.00000000,0,0.00000000,0.00000000,0
1596672000000,0.00100000,0.00100000,0.00100000,0.00100000,0.00000000,1596686399999,0.00000000,0,0.00000000,0.00000000,0
1596686400000,0.00100000,0.00100000,0.00100000,0.00100000,0.00000000,1596700799999,0.00000000,0,0.00000000,0.00000000,0
1596700800000,0.00100000,0.00100000,0.00100000,0.00100000,0.00000000,1596715199999,0.00000000,0,0.00000000,0.00000000,0
1596715200000,0.00100000,0.00100000,0.00050000,0.00050000,3.00000000,1596729599999,0.00155000,4,0.00000000,0.00000000,0
1596729600000,0.00050000,0.00050000,0.00050000,0.00050000,0.00000000,1596743999999,0.00000000,0,0.00000000,0.00000000,0
1596744000000,0.00050000,0.00050000,0.00050000,0.00050000,0.00000000,1596758399999,0.00000000,0,0.00000000,0.00000000,0
1596758400000,0.00050000,0.00050000,0.00050000,0.00050000,0.00000000,1596772799999,0.00000000,0,0.00000000,0.00000000,0
